-1,RootNode
1,NPC_Inn_Vari01_Mesh
2,Bip001
3,Bip001 Pelvis
4,Bip001 Spine
5,Bip001 L Thigh
6,Bip001 L Calf
7,Bip001 L Foot
8,Bip001 L Toe0
9,Point_Thigh_L
10,Bone_hip_L
11,Bip001 LThighTwist
12,Bip001 R Thigh
13,Bip001 R Calf
14,Bip001 R Foot
15,Bip001 R Toe0
16,Point_Thigh_R
17,Bone_hip_R
18,Bip001 RThighTwist
19,Bip001 Spine1
20,Bip001 Spine2
21,Bip001 Neck
22,Bip001 Head
23,Bone_eye_L
24,Bone_eye_R
25,Bone_Hair_B1
26,Bone_Hair_B2
27,Bone_Hair_B3
28,Bone_Hair_FL1
29,Bone_Hair_FL2
30,Bone_Hair_FR1
31,Bone_Hair_FR2
32,Bone_Hair_FR3
33,Bone_Hair_L1
34,Bone_Hair_L2
35,Bone_Hair_L3
36,Bone_Hair_R1
37,Bone_Hair_R2
38,Bone_Hair_R3
39,Bone_mouth
40,Bone_Ribbon1
41,Bone_Ribbon2
42,Point_Eye_L
43,Point_Eye_R
44,Bip001 L Clavicle
45,Bip001 L UpperArm
46,Bip001 L Forearm
47,Bip001 L Hand
48,Bip001 L Finger0
49,Bip001 L Finger01
50,Bip001 L Finger02
51,Bip001 L Finger1
52,Bip001 L Finger11
53,Bip001 L Finger12
54,Bip001 L Finger2
55,Bip001 L Finger21
56,Bip001 L Finger22
57,Bip001 L Finger3
58,Bip001 L Finger31
59,Bip001 L Finger32
60,Bip001 L Finger4
61,Bip001 L Finger41
62,Bip001 L Finger42
63,Bip001 L ForeTwist
64,Bone_UpArmTwist_L
65,Bone_UpArmTwist_L2
66,Point_Shoulder_L
67,Bone_Shoulder_L
68,Bip001 R Clavicle
69,Bip001 R UpperArm
70,Bip001 R Forearm
71,Bip001 R Hand
72,Bip001 R Finger0
73,Bip001 R Finger01
74,Bip001 R Finger02
75,Bip001 R Finger1
76,Bip001 R Finger11
77,Bip001 R Finger12
78,Bip001 R Finger2
79,Bip001 R Finger21
80,Bip001 R Finger22
81,Bip001 R Finger3
82,Bip001 R Finger31
83,Bip001 R Finger32
